x,y,delta_x,delta_y
115.000000,21.000000,10.052147,22.286930
48.000000,22.000000,-10.681904,21.378574
132.000000,18.000000,10.854813,22.607689
9.000000,59.000000,16.635696,31.207191
61.000000,22.000000,12.159103,23.073513
39.000000,57.000000,23.473137,30.673027
32.000000,58.000000,21.932987,30.419403
131.000000,94.000000,-5.507431,30.492989
62.000000,15.000000,1.248714,20.921635
39.000000,74.000000,22.820457,35.116180
74.000000,53.000000,31.555275,29.359680
5.000000,17.000000,16.144936,22.112072
30.000000,53.000000,21.708252,29.937347
86.000000,97.000000,-16.571945,13.130363
4.000000,63.000000,16.553650,31.163162
91.000000,16.000000,13.927048,20.828033
24.000000,63.000000,20.742363,32.246819
94.000000,87.000000,3.586029,-6.060501
96.000000,16.000000,-2.378815,20.990707
83.000000,22.000000,17.405457,22.315399
29.000000,76.000000,20.897907,33.717346
128.000000,22.000000,5.135956,22.943962
23.000000,70.000000,20.810165,32.648087
84.000000,17.000000,-8.351097,22.079388
124.000000,86.000000,-5.023308,31.962723
101.000000,15.000000,-43.761551,20.106079
51.000000,66.000000,-6.783871,36.064331
115.000000,89.000000,0.217194,31.456360
27.000000,44.000000,20.797626,27.762100
78.000000,98.000000,30.749260,39.411758
47.000000,57.000000,24.878014,30.895508
60.000000,62.000000,0.041965,32.065468
52.000000,72.000000,-15.372017,48.684753
57.000000,55.000000,-2.166920,31.187775
110.000000,92.000000,-1.012680,33.803604
85.000000,81.000000,4.303024,-6.469597
136.000000,87.000000,-12.527161,21.536148
100.000000,60.000000,6.356171,15.793861
14.000000,88.000000,18.490707,37.475426
96.000000,65.000000,3.340057,15.516479
96.000000,11.000000,-8.093048,19.925413
15.000000,17.000000,16.648438,22.163750
41.000000,65.000000,23.731796,32.294823
140.000000,93.000000,-11.004028,18.252586
18.000000,37.000000,19.834423,26.792824
4.000000,72.000000,15.990772,32.796051
47.000000,69.000000,24.489471,34.551476
65.000000,56.000000,-1.334728,33.673630
17.000000,78.000000,19.571072,35.351913
87.000000,11.000000,2.388130,20.195450
53.000000,51.000000,-3.434464,26.486664
111.000000,65.000000,8.303970,16.655334
9.000000,73.000000,17.605976,33.226067
113.000000,48.000000,7.060226,28.688942
78.000000,62.000000,-69.173691,51.305229
4.000000,90.000000,17.902172,37.386223
98.000000,54.000000,2.018456,16.398300
41.000000,45.000000,-11.778978,37.283707
